date,home_team,away_team,full_time_result,season,league
2024-12-15,Sociedad,Las Palmas,D,2024-2025,LaLiga
2024-12-15,Villarreal,Betis,A,2024-2025,LaLiga
2024-12-15,Barcelona,Leganes,A,2024-2025,LaLiga
2024-12-18,Espanol,Valencia,D,2024-2025,LaLiga
2024-12-18,Villarreal,Vallecano,D,2024-2025,LaLiga
2024-12-20,Girona,Valladolid,H,2024-2025,LaLiga
2024-12-21,Getafe,Mallorca,A,2024-2025,LaLiga
2024-12-21,Celta,Sociedad,H,2024-2025,LaLiga
2024-12-21,Osasuna,Ath Bilbao,A,2024-2025,LaLiga
2024-12-21,Barcelona,Ath Madrid,A,2024-2025,LaLiga
2024-12-22,Valencia,Alaves,D,2024-2025,LaLiga
2024-12-22,Real Madrid,Sevilla,H,2024-2025,LaLiga
2024-12-22,Las Palmas,Espanol,H,2024-2025,LaLiga
2024-12-22,Leganes,Villarreal,A,2024-2025,LaLiga
2024-12-22,Betis,Vallecano,D,2024-2025,LaLiga
2025-01-03,Valencia,Real Madrid,A,2024-2025,LaLiga
2025-01-10,Vallecano,Celta,H,2024-2025,LaLiga
2025-01-11,Alaves,Girona,A,2024-2025,LaLiga
2025-01-11,Valladolid,Betis,H,2024-2025,LaLiga
2025-01-11,Espanol,Leganes,D,2024-2025,LaLiga
2025-01-11,Sevilla,Valencia,D,2024-2025,LaLiga
2025-01-12,Las Palmas,Getafe,A,2024-2025,LaLiga
2025-01-12,Ath Madrid,Osasuna,H,2024-2025,LaLiga
2025-01-13,Sociedad,Villarreal,H,2024-2025,LaLiga
2025-01-17,Espanol,Valladolid,H,2024-2025,LaLiga
2025-01-18,Girona,Sevilla,A,2024-2025,LaLiga
2025-01-18,Leganes,Ath Madrid,H,2024-2025,LaLiga
2025-01-18,Betis,Alaves,A,2024-2025,LaLiga
2025-01-18,Getafe,Barcelona,D,2024-2025,LaLiga
2025-01-19,Celta,Ath Bilbao,A,2024-2025,LaLiga
2025-01-19,Real Madrid,Las Palmas,H,2024-2025,LaLiga
2025-01-19,Osasuna,Vallecano,D,2024-2025,LaLiga
2025-01-19,Valencia,Sociedad,H,2024-2025,LaLiga
2025-01-20,Villarreal,Mallorca,H,2024-2025,LaLiga
2025-01-24,Las Palmas,Osasuna,D,2024-2025,LaLiga
2025-01-25,Mallorca,Betis,A,2024-2025,LaLiga
2025-01-25,Ath Madrid,Villarreal,D,2024-2025,LaLiga
2025-01-25,Sevilla,Espanol,D,2024-2025,LaLiga
2025-01-25,Valladolid,Real Madrid,A,2024-2025,LaLiga
2025-01-26,Vallecano,Girona,H,2024-2025,LaLiga
2025-01-26,Sociedad,Getafe,A,2024-2025,LaLiga
2025-01-26,Ath Bilbao,Leganes,D,2024-2025,LaLiga
2025-01-26,Barcelona,Valencia,H,2024-2025,LaLiga
2025-01-27,Alaves,Celta,D,2024-2025,LaLiga
2025-01-31,Leganes,Vallecano,A,2024-2025,LaLiga
2025-02-01,Getafe,Sevilla,D,2024-2025,LaLiga
2025-02-01,Villarreal,Valladolid,H,2024-2025,LaLiga
2025-02-01,Ath Madrid,Mallorca,H,2024-2025,LaLiga
2025-02-01,Espanol,Real Madrid,H,2024-2025,LaLiga
2025-02-02,Barcelona,Alaves,H,2024-2025,LaLiga
2025-02-02,Valencia,Celta,H,2024-2025,LaLiga
2025-02-02,Osasuna,Sociedad,H,2024-2025,LaLiga
2025-02-02,Betis,Ath Bilbao,D,2024-2025,LaLiga
2025-02-03,Girona,Las Palmas,H,2024-2025,LaLiga
2025-02-07,Vallecano,Valladolid,H,2024-2025,LaLiga
2025-02-08,Celta,Betis,H,2024-2025,LaLiga
2025-02-08,Ath Bilbao,Girona,H,2024-2025,LaLiga
2025-02-08,Las Palmas,Villarreal,A,2024-2025,LaLiga
2025-02-08,Real Madrid,Ath Madrid,D,2024-2025,LaLiga
2025-02-09,Alaves,Getafe,A,2024-2025,LaLiga
2025-02-09,Valencia,Leganes,H,2024-2025,LaLiga
2025-02-09,Sociedad,Espanol,H,2024-2025,LaLiga
2025-02-09,Sevilla,Barcelona,A,2024-2025,LaLiga
2025-02-10,Mallorca,Osasuna,D,2024-2025,LaLiga
2025-02-14,Girona,Getafe,A,2024-2025,LaLiga
2025-02-15,Leganes,Alaves,D,2024-2025,LaLiga
2025-02-15,Osasuna,Real Madrid,D,2024-2025,LaLiga
2025-02-15,Ath Madrid,Celta,D,2024-2025,LaLiga
2025-02-15,Villarreal,Valencia,D,2024-2025,LaLiga
2025-02-16,Espanol,Ath Bilbao,D,2024-2025,LaLiga
2025-02-16,Valladolid,Sevilla,A,2024-2025,LaLiga
2025-02-16,Mallorca,Las Palmas,H,2024-2025,LaLiga
2025-02-16,Betis,Sociedad,H,2024-2025,LaLiga
2025-02-17,Barcelona,Vallecano,H,2024-2025,LaLiga
2025-02-21,Celta,Osasuna,H,2024-2025,LaLiga
2025-02-22,Alaves,Espanol,A,2024-2025,LaLiga
2025-02-22,Vallecano,Villarreal,A,2024-2025,LaLiga
2025-02-22,Valencia,Ath Madrid,A,2024-2025,LaLiga
2025-02-22,Las Palmas,Barcelona,A,2024-2025,LaLiga
2025-02-23,Ath Bilbao,Valladolid,H,2024-2025,LaLiga
2025-02-23,Real Madrid,Girona,H,2024-2025,LaLiga
2025-02-23,Getafe,Betis,A,2024-2025,LaLiga
2025-02-23,Sociedad,Leganes,H,2024-2025,LaLiga
2025-02-24,Sevilla,Mallorca,D,2024-2025,LaLiga
2025-02-28,Valladolid,Las Palmas,D,2024-2025,LaLiga
2025-03-01,Girona,Celta,D,2024-2025,LaLiga
2025-03-01,Vallecano,Sevilla,D,2024-2025,LaLiga
2025-03-01,Betis,Real Madrid,H,2024-2025,LaLiga
2025-03-01,Ath Madrid,Ath Bilbao,H,2024-2025,LaLiga
2025-03-02,Leganes,Getafe,H,2024-2025,LaLiga
2025-03-02,Barcelona,Sociedad,H,2024-2025,LaLiga
2025-03-02,Mallorca,Alaves,D,2024-2025,LaLiga
2025-03-02,Osasuna,Valencia,D,2024-2025,LaLiga
2025-03-08,Celta,Leganes,H,2024-2025,LaLiga
2025-03-08,Alaves,Villarreal,H,2024-2025,LaLiga
2025-03-08,Valencia,Valladolid,H,2024-2025,LaLiga
2025-03-09,Getafe,Ath Madrid,H,2024-2025,LaLiga
2025-03-09,Real Madrid,Vallecano,H,2024-2025,LaLiga
2025-03-09,Ath Bilbao,Mallorca,D,2024-2025,LaLiga
2025-03-09,Betis,Las Palmas,H,2024-2025,LaLiga
2025-03-09,Sociedad,Sevilla,A,2024-2025,LaLiga
2025-03-10,Espanol,Girona,D,2024-2025,LaLiga
2025-03-14,Las Palmas,Alaves,D,2024-2025,LaLiga
2025-03-15,Valladolid,Celta,A,2024-2025,LaLiga
2025-03-15,Mallorca,Espanol,H,2024-2025,LaLiga
2025-03-15,Villarreal,Real Madrid,A,2024-2025,LaLiga
2025-03-15,Girona,Valencia,D,2024-2025,LaLiga
2025-03-16,Leganes,Betis,A,2024-2025,LaLiga
2025-03-16,Sevilla,Ath Bilbao,A,2024-2025,LaLiga
2025-03-16,Osasuna,Getafe,A,2024-2025,LaLiga
2025-03-16,Vallecano,Sociedad,D,2024-2025,LaLiga
2025-03-16,Ath Madrid,Barcelona,A,2024-2025,LaLiga
2025-03-27,Barcelona,Osasuna,H,2024-2025,LaLiga
2025-03-29,Sociedad,Valladolid,H,2024-2025,LaLiga
2025-03-29,Espanol,Ath Madrid,D,2024-2025,LaLiga
2025-03-29,Alaves,Vallecano,A,2024-2025,LaLiga
2025-03-29,Real Madrid,Leganes,H,2024-2025,LaLiga
2025-03-30,Getafe,Villarreal,A,2024-2025,LaLiga
2025-03-30,Barcelona,Girona,H,2024-2025,LaLiga
2025-03-30,Ath Bilbao,Osasuna,D,2024-2025,LaLiga
2025-03-30,Valencia,Mallorca,H,2024-2025,LaLiga
2025-03-30,Betis,Sevilla,H,2024-2025,LaLiga
2025-03-31,Celta,Las Palmas,D,2024-2025,LaLiga
2025-04-04,Vallecano,Espanol,A,2024-2025,LaLiga
2025-04-05,Girona,Alaves,A,2024-2025,LaLiga
2025-04-05,Real Madrid,Valencia,A,2024-2025,LaLiga
2025-04-05,Mallorca,Celta,A,2024-2025,LaLiga
2025-04-05,Barcelona,Betis,D,2024-2025,LaLiga
2025-04-06,Las Palmas,Sociedad,A,2024-2025,LaLiga
2025-04-06,Sevilla,Ath Madrid,A,2024-2025,LaLiga
2025-04-06,Valladolid,Getafe,A,2024-2025,LaLiga
2025-04-06,Villarreal,Ath Bilbao,D,2024-2025,LaLiga
2025-04-07,Leganes,Osasuna,D,2024-2025,LaLiga
2025-04-11,Valencia,Sevilla,H,2024-2025,LaLiga
2025-04-12,Sociedad,Mallorca,A,2024-2025,LaLiga
2025-04-12,Getafe,Las Palmas,A,2024-2025,LaLiga
2025-04-12,Celta,Espanol,A,2024-2025,LaLiga
2025-04-12,Leganes,Barcelona,A,2024-2025,LaLiga
2025-04-13,Osasuna,Girona,H,2024-2025,LaLiga
2025-04-13,Alaves,Real Madrid,A,2024-2025,LaLiga
2025-04-13,Betis,Villarreal,A,2024-2025,LaLiga
2025-04-13,Ath Bilbao,Vallecano,H,2024-2025,LaLiga
2025-04-14,Ath Madrid,Valladolid,H,2024-2025,LaLiga
2025-04-18,Espanol,Getafe,H,2024-2025,LaLiga
2025-04-19,Vallecano,Valencia,D,2024-2025,LaLiga
2025-04-19,Barcelona,Celta,H,2024-2025,LaLiga
2025-04-19,Mallorca,Leganes,D,2024-2025,LaLiga
2025-04-19,Las Palmas,Ath Madrid,H,2024-2025,LaLiga
2025-04-20,Valladolid,Osasuna,A,2024-2025,LaLiga
2025-04-20,Villarreal,Sociedad,D,2024-2025,LaLiga
2025-04-20,Sevilla,Alaves,D,2024-2025,LaLiga
2025-04-20,Real Madrid,Ath Bilbao,H,2024-2025,LaLiga
2025-04-21,Girona,Betis,A,2024-2025,LaLiga
2025-04-22,Valencia,Espanol,D,2024-2025,LaLiga
2025-04-22,Barcelona,Mallorca,H,2024-2025,LaLiga
2025-04-23,Ath Bilbao,Las Palmas,H,2024-2025,LaLiga
2025-04-23,Celta,Villarreal,H,2024-2025,LaLiga
2025-04-23,Alaves,Sociedad,H,2024-2025,LaLiga
2025-04-23,Getafe,Real Madrid,A,2024-2025,LaLiga
2025-04-24,Leganes,Girona,D,2024-2025,LaLiga
2025-04-24,Osasuna,Sevilla,H,2024-2025,LaLiga
2025-04-24,Ath Madrid,Vallecano,H,2024-2025,LaLiga
2025-04-24,Betis,Valladolid,H,2024-2025,LaLiga
2025-04-27,Villarreal,Espanol,H,2024-2025,LaLiga
2025-05-02,Vallecano,Getafe,H,2024-2025,LaLiga
2025-05-03,Alaves,Ath Madrid,D,2024-2025,LaLiga
2025-05-03,Villarreal,Osasuna,H,2024-2025,LaLiga
2025-05-03,Las Palmas,Valencia,A,2024-2025,LaLiga
2025-05-03,Valladolid,Barcelona,A,2024-2025,LaLiga
2025-05-04,Real Madrid,Celta,H,2024-2025,LaLiga
2025-05-04,Sevilla,Leganes,D,2024-2025,LaLiga
2025-05-04,Espanol,Betis,A,2024-2025,LaLiga
2025-05-04,Sociedad,Ath Bilbao,D,2024-2025,LaLiga
2025-05-05,Girona,Mallorca,H,2024-2025,LaLiga
2025-05-09,Las Palmas,Vallecano,A,2024-2025,LaLiga
2025-05-10,Valencia,Getafe,H,2024-2025,LaLiga
2025-05-10,Celta,Sevilla,H,2024-2025,LaLiga
2025-05-10,Girona,Villarreal,A,2024-2025,LaLiga
2025-05-10,Mallorca,Valladolid,H,2024-2025,LaLiga
2025-05-10,Ath Madrid,Sociedad,H,2024-2025,LaLiga
2025-05-11,Leganes,Espanol,H,2024-2025,LaLiga
2025-05-11,Barcelona,Real Madrid,H,2024-2025,LaLiga
2025-05-11,Ath Bilbao,Alaves,H,2024-2025,LaLiga
2025-05-11,Betis,Osasuna,D,2024-2025,LaLiga
2025-05-13,Valladolid,Girona,A,2024-2025,LaLiga
2025-05-13,Sociedad,Celta,A,2024-2025,LaLiga
2025-05-13,Sevilla,Las Palmas,H,2024-2025,LaLiga
2025-05-14,Alaves,Valencia,H,2024-2025,LaLiga
2025-05-14,Villarreal,Leganes,H,2024-2025,LaLiga
2025-05-14,Real Madrid,Mallorca,H,2024-2025,LaLiga
2025-05-15,Vallecano,Betis,D,2024-2025,LaLiga
2025-05-15,Osasuna,Ath Madrid,H,2024-2025,LaLiga
2025-05-15,Espanol,Barcelona,A,2024-2025,LaLiga
2025-05-15,Getafe,Ath Bilbao,A,2024-2025,LaLiga
2025-05-18,Ath Madrid,Betis,H,2024-2025,LaLiga
2025-05-18,Barcelona,Villarreal,A,2024-2025,LaLiga
2025-05-18,Celta,Vallecano,A,2024-2025,LaLiga
2025-05-18,Las Palmas,Leganes,A,2024-2025,LaLiga
2025-05-18,Mallorca,Getafe,A,2024-2025,LaLiga
2025-05-18,Osasuna,Espanol,H,2024-2025,LaLiga
2025-05-18,Sevilla,Real Madrid,A,2024-2025,LaLiga
2025-05-18,Sociedad,Girona,H,2024-2025,LaLiga
2025-05-18,Valencia,Ath Bilbao,A,2024-2025,LaLiga
2025-05-18,Valladolid,Alaves,A,2024-2025,LaLiga
2025-05-23,Betis,Valencia,D,2024-2025,LaLiga
2025-05-24,Real Madrid,Sociedad,H,2024-2025,LaLiga
2025-05-24,Espanol,Las Palmas,H,2024-2025,LaLiga
2025-05-24,Leganes,Valladolid,H,2024-2025,LaLiga
2025-05-24,Alaves,Osasuna,D,2024-2025,LaLiga
2025-05-24,Getafe,Celta,A,2024-2025,LaLiga
2025-05-24,Vallecano,Mallorca,D,2024-2025,LaLiga
2025-05-25,Girona,Ath Madrid,A,2024-2025,LaLiga
2025-05-25,Villarreal,Sevilla,H,2024-2025,LaLiga
2025-05-25,Ath Bilbao,Barcelona,A,2024-2025,LaLiga
